Name,Num_words_said
Leslie Knope,123956
Tom Haverford,40913
Ron Swanson,34579
Ben Wyatt,32797
Andy Dwyer,32308
Ann Perkins,25217
April Ludgate,22275
Chris Traeger,19721
Extra,10379
Donna Meagle,8247
Jerry Gergich,8028
Mark Brendanawicz,4982
Jeremy Jamm,4100
Jean-Ralphio Saperstein,3272
Jennifer Barkley,2651
Dave Sanderson,2268
Joan Callamezzo,2042
Craig Middlebrooks,1834
Perd Hapley,1669
Bobby Newport,1487
Tammy 2,1322
Shauna Malwae-Tweep,1232
Raul,1064
Justin,1061
Dennis Feinstein,1010
Diane Lewis,945
The Douche,945
Jessica Wicks,914
Mona-Lisa Saperstein,893
Marlene Griggs-Knope,865
Lucy,822
Dr. Saperstein,813
Trevor Nelson,771
Chris,677
Roscoe,622
Marcia Langman,610
Councilman Dexhart,596
Barney,596
Ethel Beavers,586
Nadia Stasky,553
Ken Hotate,553
Garth Blunden,540
William Barnes,538
Joe,523
Kelly Larson,520
Ron Dunn,515
Carl Lorthner,514
Kathryn Pinewood,489
Ingrid de Forest,485
Annabel Porter,446
Paul,443
Grant Larson,425
Brandi Maxxxx,414
Wendy,402
Derek,393
Buddy Wood,388
Joe From Sewage,381
Lindsay Carlisle Shay,375
Dr. Harris,370
Wreston St. James,350
Pete Disellio,343
Derry Murbles,337
Lord Covington,337
Councilman Milton,335
Tammy 1,335
Elise Yarktin,333
Allison,326
Harris,318
Burly,317
Crazy Ira,309
Chief Trumple,301
Harvey,299
Leonard Tchulm,291
Herb Scaifer,289
Herman,288
George Gernway,288
Theodore,287
Brett,279
Evelyn Rowshlind,279
Mike Patterson,259
Frank Beckerson,244
Mitch Savner,240
Linda Lonegan,238
JJ,236
Dennis Lerpiss,228
Marshall Langman,227
Music,220
Chipp McCapp,218
Keef,216
Gretel,215
Mike Bean,213
Bill,211
Phil,205
Bill Haggerty,201
Greg Pikitis,198
Mayor Stice,193
Police Officer,192
Chance Frenlm,191
Hank Muntak,190
Commercial,180
Morris,178
Gayle Gergich,173
Announcer,172
Tynnyfer,167
Kim Terlando,164
Joe Biden,163
Scott Braddock,159
Ned Jones,159
Kipp Bunthart,158
Greg's Mom,154
Kyle,152
Trish Ianetta,152
All,151
Harold,148
Scott Tanner,147
Councilman Howser,146
Ulee Danssen,142
Michael Tansley,138
Nick Newport Jr.,137
Randy,136
Steve Wyatt,133
Lawrence,131
Rosie DeMarco,129
Principal Russell,128
Julia Wyatt,128
Detlef Schrempf,125
David Moser,121
Nolan,120
Typhoon,119
Kate Spivack,118
Millicent Gergich,117
Madeleine Albright,114
Elvis,114
Paula Horke,113
Narrator,112
John Cena,110
Mel,108
Lauren,106
Clarence Carrington,104
Fester Trim,102
Nurse,101
Edgar Covington,99
Stephanie Wyatt,99
Doug DeMarco,96
Zoe Lewis,95
Ivy Lewis,95
Old Gus,94
Roz,93
Freddy,92
Michelle Obama,90
Dan,90
Caller,88
Bjorn Lerpiss,88
Randall,86
Elizabeth Barnes,84
Ron's Mom,82
Congressman Murray,82
Cop,81
Reporter,80
Lauren's Mom,80
Ben,78
Park Ranger,78
Xander,78
Manrico Della Rossa,77
Chief Fugleberg,77
Zach Harrison,77
Tania,76
Pearl,76
Madison,75
Ed,74
Dewey,71
August Clementine,71
Frank,69
Darren,68
Freddy Spaghetti,68
Chief Konner,67
Nick Newport,66
Councilman Houser,65
Janine Restrepo,65
George Williams,65
Walter Gunderson,65
Roy Hibbert,63
John McCain,62
Ginuwine,61
Orin,60
Orrin Hatch,58
Martin Kernston,58
Evelyn,58
Stu,57
Kay Hanley,57
Rita Ludgate,57
Ellis,57
Ulani,56
Waiter,55
Extras,53
Cory Booker,52
Bertram Rolands,52
Jack Cooper,52
Barbara Boxer,50
extra,50
Jen,50
Kirsten Gillibrand,49
Ragiv,49
Elsa Clack,49
Martin Housely,49
Laura,48
LeVondrious,48
Maria Portlesman,47
Natalie Ludgate,46
Trodd,45
Connie Cabbage,44
Rivers,44
The Decembrists,43
Terrence Montreaux,43
Frank Schnable,43
Marci,42
Ian Winston,40
Tanya,40
Artist,37
Jill Biden,37
Alexis Pratchett,36
Christine Porter,36
Kid,36
Larry Ludgate,35
Salvatore,34
Alexa Softcastle,32
Chang,32
Eduardo,32
Bartender,31
Alyssa,30
Jim Irsay,30
Andrew Luck,29
Chef,28
Men's Soccer Coach,28
Stranger,26
Ray Holstead,26
Zookeeper,25
Florence,25
Joe Campopiano,25
Emcee,24
Pastor,23
Wendell Adams,22
June Hartwell,22
Susan Gleever,22
Abigail,22
Herman Lerpiss,22
Bouncer,22
George MacFayden,21
Phone Voice,21
TV,21
Jim Kabernick,20
Carl,20
Eugene,19
Landlord,18
Brian,17
Don Swanson,17
Charles Woliner,17
Bank Teller,17
Mike,17
Realtor,16
DJ Bluntz,16
Bobby Knight Ranger,16
Antonio,15
Rebecca Varuvian,15
Nate,15
Liam Bonneville,14
Drunk,14
Ian,14
Child,13
Beth,13
Denise Yermley,13
Casey,12
Stuart,10
Olympia Snow,10
Reggie Wayne,9
Choir,9
Nick Newport Sr.,9
Adam Vinatieri,8
Josh Groban,8
Kids,7
Background,6
Miriam Gergich,6
Gladys Gergich,6
Joey Plunkett,6
,6
Zack,5
Sasha Dunkirk,5
Sierra,5
Sweetums Employee,5
Denver,5
Audience Member,5
Craig,5
Newt Gingrich,5
Construction Worker,4
Vaughn Swanson,4
Chelsea,4
Tow Person,3
Robert Mathis,3
Everyone,3
Marta,3
Custodian,2
Cindy,2
Lester Kanopf,2
Lon Swanson,1
Phone,1
Run Dunn,1
Bobby,1
