Character,Line,Next_Character,Season,Episode,Line_Length,Sentiment
Leslie Knope,Greg Pikitis.,Greg Pikitis,2,7,2,Neutral
Greg Pikitis,"You're the Parks lady, right?",Leslie Knope,2,7,5,Neutral
Leslie Knope,"Yeah, that's right. I'm the Parks lady. Leslie Knope. And I'm here to tell you that this year it ends. Ugh, this kid makes me crazy. We got a history, Greg and I. He absolutely terrorizes the Parks system. Every Halloween someone defaces the statue of Mayor Percy in Ramsett Park. And I know it's Greg Pikitis, but I've never been able to prove it. He's like an invisible, adolescent, James Bond super villain criminal mastermind. Or maybe someone else is doing it, but I really feel like it's this kid. I've got the entire Parks Department watching you, my boyfriend's a cop, so don't even try it.",Greg Pikitis,2,7,108,Positive
Greg Pikitis,I don't know what you're talking about.,Leslie Knope,2,7,7,Neutral
Leslie Knope,"Oh, I think you do. It ends today, Pikitis. It ends. Today.",Greg Pikitis,2,7,12,Negative
Greg Pikitis,"Thanks for stopping by, Leslie. You look great.",Leslie Knope,2,7,8,Neutral
Leslie Knope,Thank you. Ends today.,Ann Perkins,2,7,4,Neutral
Ann Perkins,"Hey, Parks Department.",April Ludgate,2,7,3,Negative
April Ludgate,"Yay, Ann's here.",Ann Perkins,2,7,3,Neutral
Ann Perkins,"Uh, just to remind you, tonight, 7 o' clock, my house, in costume. Everybody in?",Ron Swanson,2,7,15,Negative
Ron Swanson,Yeah.,April Ludgate,2,7,1,Neutral
April Ludgate,Yup.,Ann Perkins,2,7,1,Neutral
Ann Perkins,"Cool. Okay. Halloween is my favorite holiday, it's just the best. And I don't have to work. Hey, slutty teenage girls dressed as sexy kittens, pump your own stomachs this year. Oh, one more thing, the people in this room now are the people I invited, plus Leslie and Donna, so, don't tell anybody.",April Ludgate,2,7,54,Positive
April Ludgate,"Who's not invited, then?",Tom Haverford,2,7,4,Positive
Tom Haverford,"Hey! What's going on, cupcake? Excited about the party tonight.",Ann Perkins,2,7,10,Neutral
Ann Perkins,"Oh! Oh, you're coming? I was just about to tell you.",Tom Haverford,2,7,11,Neutral
Tom Haverford,Jerry already told me. Can't wait to see how tiny your costume is. What time does it start?,Ann Perkins,2,7,18,Neutral
Ann Perkins,7:00,Tom Haverford,2,7,1,Neutral
Tom Haverford,Perfect.,Ann Perkins,2,7,1,Neutral
Ann Perkins,"Yeah, it's perfect.",Leslie Knope,2,7,3,Positive
Leslie Knope,Check this out. These are all the possible routes from Greg Pikitis' house to the statue.,Ann Perkins,2,7,16,Neutral
Ann Perkins,That looks like something you would find on the wall of a serial killer.,Leslie Knope,2,7,14,Negative
Leslie Knope,"In a way, that's a compliment. Shows dedication.",Ann Perkins,2,7,8,Neutral
Ann Perkins,"Mmm. What's the big deal, anyway? I mean, a kid TPs some statue.",Leslie Knope,2,7,13,Neutral
Leslie Knope,"And all the trees and all the benches. It takes us, like, 10 days to clean his mess up. But more importantly, Greg Pikitis sucks, and I wanna destroy him.",Ann Perkins,2,7,30,Neutral
Ann Perkins,"Okay. Well, if you destroy him early, please come by.",Leslie Knope,2,7,10,Neutral
Leslie Knope,I will. Hey! How is someone gonna be able to get through that door?,Extra,2,7,14,Positive
Extra,Oh.,Jerry Gergich,2,7,1,Neutral
Jerry Gergich,Oh! What the... Are you kidding me?,Leslie Knope,2,7,7,Neutral
Leslie Knope,"Jerry! Relax. Here. Uh, William Percy. One of Pawnee's greatest mayors. And a true hero. During the Pawnee Bread Factory fire of 1922, he ran back into a burning building and saved the beloved secret recipe for Pawnee Pumpernickel.",Dave Sanderson,2,7,39,Positive
Dave Sanderson,"Didn't, like, 30 people die in that fire?",Leslie Knope,2,7,8,Positive
Leslie Knope,He wasn't Superman.,Andy Dwyer,2,7,3,Neutral
Andy Dwyer,He looks like Ron Swanson. Is that who this is based on?,Leslie Knope,2,7,12,Neutral
Leslie Knope,No. It's based on William Percy. Were you listening to what I just said?,Andy Dwyer,2,7,14,Neutral
Andy Dwyer,Yes.,Leslie Knope,2,7,1,Neutral
Leslie Knope,"Okay, Andy. Good news. You're officially on the Parks Department payroll. 8 dollars an hour. Commit this to memory. You see him, you stop him. Knock his head off if you have to.",Dave Sanderson,2,7,33,Negative
Dave Sanderson,Don't do that.,Leslie Knope,2,7,3,Neutral
Leslie Knope,Don't do that. But I give you permission to use excessive force.,Dave Sanderson,2,7,12,Neutral
Dave Sanderson,Don't use excessive force.,Leslie Knope,2,7,4,Neutral
Leslie Knope,Don't go overboard. Just stop him. By any means necessary.,Dave Sanderson,2,7,10,Positive
Dave Sanderson,No.,Leslie Knope,2,7,1,Neutral
Leslie Knope,No. Just stop him. You know what I mean?,Andy Dwyer,2,7,9,Neutral
Andy Dwyer,"A week ago I had nothing. Now, I have a part-time job. I'm gonna make 32 bucks tonight. I owe Leslie everything I have. Which, after tonight, will be 39 bucks.",Ron Swanson,2,7,31,Positive
Ron Swanson,"Hello, Ann.",Ann Perkins,2,7,2,Positive
Ann Perkins,Hey!,Ron Swanson,2,7,1,Neutral
Ron Swanson,Am I early?,Ann Perkins,2,7,3,Neutral
Ann Perkins,"Nope, you are right on time.",Ron Swanson,2,7,6,Positive
Ron Swanson,I like your costume.,Ann Perkins,2,7,4,Neutral
Ann Perkins,"Oh, thanks. Raggedy Ann. It was one of my favorite books when I was a kid.",Ron Swanson,2,7,16,Neutral
Ron Swanson,Hmm. I'm a pirate.,Ann Perkins,2,7,4,Neutral
Ann Perkins,"Right. Oh. Hey, Dr. Harris. How are you?",Dr. Harris,2,7,8,Neutral
Dr. Harris,Ann.,Ann Perkins,2,7,1,Neutral
Ann Perkins,"Thanks. Um, this is Ron Swanson, from the Parks Department. I know him from that thing that I'm doing. This is Dr. Harris.",Ron Swanson,2,7,23,Negative
Ron Swanson,You're a doctor.,Dr. Harris,2,7,3,Neutral
Dr. Harris,Yup.,Ron Swanson,2,7,1,Neutral
Ron Swanson,I meant your costume.,Dr. Harris,2,7,4,Neutral
Dr. Harris,I got it.,Ann Perkins,2,7,3,Neutral
Ann Perkins,"Worlds colliding, always awkward.",Leslie Knope,2,7,4,Positive
Leslie Knope,"8:22 p.m, suspect still with friends in parking lot. He looks obnoxious and irritating, even from a great distance.",Dave Sanderson,2,7,19,Negative
Dave Sanderson,"Uh, confirmed. Normally, I hate working on Halloween, but it's nice hanging out with Leslie. You know, she's focused, she's committed, and she made out with me in my cop car, which is pretty neat. I shouldn't have said that. That's clear to me now.",Ann Perkins,2,7,45,Negative
Ann Perkins,"Hey, guys.",April Ludgate,2,7,2,Neutral
April Ludgate,"Hey. Remember my boyfriend Derek, and his boyfriend Ben?",Ann Perkins,2,7,9,Neutral
Ann Perkins,"Yeah, hi. It's totally okay that you didn't wear a costume.",Derek,2,7,11,Neutral
Derek,I did. I'm a straight person.,Mark Brendanawicz,2,7,6,Neutral
Mark Brendanawicz,"Hey, sorry I'm late.",Derek,2,7,4,Positive
Derek,See?,Ann Perkins,2,7,1,Neutral
Ann Perkins,Sorry it's a little bit lame right now. But we'll get it going.,April Ludgate,2,7,13,Neutral
April Ludgate,"I passed up a gay Halloween party to be here. Do you know how much fun gay Halloween parties are? Last year, I saw three Jonas Brothers make out with three Robert Pattinsons. It was amazing.",Nurse,2,7,36,Positive
Nurse,"So, you're the Mark that Ann is dating.",Mark Brendanawicz,2,7,8,Neutral
Mark Brendanawicz,I suppose that I am.,Nurse,2,7,5,Neutral
Nurse,We're very protective of Ann. We look out for her.,Mark Brendanawicz,2,7,10,Neutral
Mark Brendanawicz,"So, you kind of dropped the ball with Andy then, didn't you?",Nurse,2,7,12,Positive
Nurse,"Aw! Andy. I loved Andy. Ah, such a sweetheart. Is Andy coming tonight? You should get back with Andy.",Ann Perkins,2,7,19,Negative
Ann Perkins,Who needs a drink? I do.,Leslie Knope,2,7,6,Neutral
Leslie Knope,"Suspect laughing with friends and playing with his stupid skateboard in a snide, turdish manner.",Dave Sanderson,2,7,15,Negative
Dave Sanderson,Turdish?,Leslie Knope,2,7,1,Neutral
Leslie Knope,Yes. Like a turd. Like a little turd.,Dave Sanderson,2,7,8,Negative
Dave Sanderson,"Hey, listen, your scare tactics clearly worked. You got Andy guarding the statue. Why don't we go to Ann's party? Have a little fun. Oh. Uh... We wanted to cover that block anyway. Wanted a police presence on it, so, this is within the bound, confines ofâ¦",Leslie Knope,2,7,47,Neutral
Leslie Knope,"Sure, let's go.",Dave Sanderson,2,7,3,Negative
Dave Sanderson,Yeah? Okay.,Leslie Knope,2,7,2,Neutral
Leslie Knope,Yeah. We'll go by my office and pick up my costume.,Dave Sanderson,2,7,11,Neutral
Dave Sanderson,Got it.,Leslie Knope,2,7,2,Neutral
Leslie Knope,Can't we just fire a warning shot over his head as we drive by?,Dave Sanderson,2,7,14,Neutral
Dave Sanderson,"No, babe. Don't touch that.",Leslie Knope,2,7,5,Negative
Leslie Knope,Leaving location. Look at stupid suspect. I hate suspect. Where are my keys?,Dave Sanderson,2,7,13,Neutral
Dave Sanderson,Looks like it's open.,Leslie Knope,2,7,4,Neutral
Leslie Knope,Really?,Dave Sanderson,2,7,1,Neutral
Dave Sanderson,Yeah.,Leslie Knope,2,7,1,Neutral
Leslie Knope,Pikitis!,Dave Sanderson,2,7,1,Neutral
Dave Sanderson,"We've been tailing that kid for a couple of hours. I mean, it must have been somebody else.",Leslie Knope,2,7,18,Negative
Leslie Knope,It was Pikitis. Believe me now?,Dave Sanderson,2,7,6,Neutral
Dave Sanderson,That doesn't mean anything to me.,Leslie Knope,2,7,6,Neutral
Leslie Knope,This is a peach pit.,Dave Sanderson,2,7,5,Neutral
Dave Sanderson,Okay.,Leslie Knope,2,7,1,Neutral
Leslie Knope,He was eating a peach when I went to go talk to him.,Dave Sanderson,2,7,13,Neutral
Dave Sanderson,Mmmhmm?,Leslie Knope,2,7,1,Neutral
Leslie Knope,"This is his ace of spades. This is his calling card. This is what he leaves all his victims. And it's still warm. Okay, go and arrest him. And send this to the lab.",Dave Sanderson,2,7,34,Positive
Dave Sanderson,We don't have a lab.,Ann Perkins,2,7,5,Neutral
Ann Perkins,"Hi, April. Okay, you're underage.",April Ludgate,2,7,5,Neutral
April Ludgate,You're not.,Dr. Harris,2,7,2,Neutral
Dr. Harris,"Hey. Yeah, I'm gonna leave.",Ann Perkins,2,7,5,Neutral
Ann Perkins,Oh. Okay.,Dr. Harris,2,7,2,Neutral
Dr. Harris,This isn't that fun.,Ann Perkins,2,7,4,Neutral
Ann Perkins,Didn't need to tell me that.,Dr. Harris,2,7,6,Neutral
Dr. Harris,"I'm gonna take this home. Nobody was drinking it, so I'm gonna take it.",Ann Perkins,2,7,14,Negative
Ann Perkins,Okay.,Dr. Harris,2,7,1,Neutral
Dr. Harris,"Gonna take this, too. Been meaning to read it.",Dave Sanderson,2,7,9,Negative
Dave Sanderson,"Okay, this isn't strictly legal. We can talk to him for maybe an hour, and then I gotta let him go.",Leslie Knope,2,7,21,Negative
Leslie Knope,You talk to him first. You have a scary face.,Dave Sanderson,2,7,10,Neutral
Dave Sanderson,Hey.,Leslie Knope,2,7,1,Neutral
Leslie Knope,"No, in a good way. Scary cute.",Dave Sanderson,2,7,7,Neutral
Dave Sanderson,Yeah?,Leslie Knope,2,7,1,Neutral
Leslie Knope,Go talk to him.,Dave Sanderson,2,7,4,Neutral
Dave Sanderson,Okay.,Greg Pikitis,2,7,1,Neutral
Greg Pikitis,"I didn't do this, man. I promise.",Dave Sanderson,2,7,7,Positive
Dave Sanderson,"Now, son, I'm a police officer. Okay? You shouldn't lie to me.",Greg Pikitis,2,7,12,Neutral
Greg Pikitis,I'm not. I've never been here before. And why would I do this?,Dave Sanderson,2,7,13,Neutral
Dave Sanderson,Because you've had runins with Miss Knope in the past. Just a second. Yeah?,Leslie Knope,2,7,14,Neutral
Leslie Knope,Ask him about the peach pit.,Greg Pikitis,2,7,6,Negative
Greg Pikitis,"This isn't one way glass, you know. I can see you. You know, I like Knope. I screw with her 'cause she gets all riled up, and her face gets all scrunched up like this. But I like her. She's all right. You see?",Leslie Knope,2,7,44,Positive
Leslie Knope,What?,Ann Perkins,2,7,1,Neutral
Ann Perkins,"I spent the whole day decorating this place, and everybody's in the kitchen. Why is everyone always in the kitchen?",Mark Brendanawicz,2,7,20,Negative
Mark Brendanawicz,I think it's going fine.,Ann Perkins,2,7,5,Neutral
Ann Perkins,"It's so quiet. Oh, my God. Oh, my God. Oh, my God. This is a total failure. This party is a failure. Oh, my God.",Mark Brendanawicz,2,7,25,Neutral
Mark Brendanawicz,"No, no. It's not a failure, Ann. Come on.",Ron Swanson,2,7,9,Neutral
Ron Swanson,"Ann, do you have any Mounds? Because all I can find are Almond Joys. And almonds give me the squirts.",Andy Dwyer,2,7,20,Neutral
Andy Dwyer,"Hey, I'm here. Statue's fine. ""Crappy Hallowieners."" That's hilarious. Where's the kid?",Leslie Knope,2,7,12,Neutral
Leslie Knope,In the conference room. Trying to hide his obvious guilt.,Dave Sanderson,2,7,10,Negative
Dave Sanderson,"Leslie, I don't know what to tell you. I don't think he did it.",Leslie Knope,2,7,14,Neutral
Leslie Knope,"Yeah, he did. And we need a confession. Okay. Andy and I are going to take a walk. And it's gonna be just you, Pikitis, and these pliers.",Dave Sanderson,2,7,28,Positive
Dave Sanderson,"Look, I'm not gonna torture this kid.",Leslie Knope,2,7,7,Negative
Leslie Knope,Nobody said torture.,Andy Dwyer,2,7,3,Negative
Andy Dwyer,"Why don't you let me take a run at him, boss? In order to think like one of these guys, you have to think like them.",Leslie Knope,2,7,26,Negative
Leslie Knope,Yeah. He's never seen you before. So imply that you're someone very important and that you can make his life hell.,Andy Dwyer,2,7,21,Neutral
Andy Dwyer,Greg Pikitis? Would you like some boiling hot coffee in your face? My name is Bert Macklin. I'm with the [bleep] FBI.,Ron Swanson,2,7,22,Negative
Ron Swanson,Ooh. Are these the same kind of chips?,Tom Haverford,2,7,8,Neutral
Tom Haverford,"Ann! What's up, gorgeous!",Ann Perkins,2,7,4,Neutral
Ann Perkins,Perfect.,Tom Haverford,2,7,1,Neutral
Tom Haverford,"Get your Raggedy ass over here, girl.",Ann Perkins,2,7,7,Neutral
Ann Perkins,"Hey, Tom. Mad Hatter?",Tom Haverford,2,7,4,Neutral
Tom Haverford,"T Pain, baby! She poppin', she rollin', she rollin' She climbin' that pole and I'm in love with a stripper This is not a stripper. It's my wife, Wendy. You remember her?",Wendy,2,7,32,Negative
Wendy,Hi. Thank you so much for inviting us.,Ann Perkins,2,7,8,Neutral
Ann Perkins,"Yes, hi. Sure.",Tom Haverford,2,7,3,Neutral
Tom Haverford,"She's a surgeon at County General, and she's super hot.",Ann Perkins,2,7,10,Neutral
Ann Perkins,"Well, thank you for being a doctor and not coming dressed as a doctor.",Wendy,2,7,14,Negative
Wendy,"Oh, my God. Who'd be boring enough to do that?",Tom Haverford,2,7,10,Neutral
Tom Haverford,"Ann, what happened here? Did you tell everyone they're gonna have to get a bone marrow transplant tomorrow? They look miserable. This party's a disaster.",Mark Brendanawicz,2,7,25,Neutral
Mark Brendanawicz,"No, it's not.",Ron Swanson,2,7,3,Neutral
Ron Swanson,"Yes, it is.",Tom Haverford,2,7,3,Neutral
Tom Haverford,Don't worry about it. We can fix this.,Wendy,2,7,8,Negative
Wendy,Totally.,Tom Haverford,2,7,1,Neutral
Tom Haverford,Give us a second.,Leslie Knope,2,7,4,Neutral
Leslie Knope,Looks like Andy's wearing him down.,Andy Dwyer,2,7,6,Neutral
Andy Dwyer,Shut up!,Leslie Knope,2,7,2,Neutral
Leslie Knope,I'm gonna go finish him off.,Greg Pikitis,2,7,6,Neutral
Greg Pikitis,That is the dumbest thing I've ever heard.,Andy Dwyer,2,7,8,Neutral
Andy Dwyer,Why don't you just shut up for a second?,Leslie Knope,2,7,9,Neutral
Leslie Knope,What's going on in here?,Andy Dwyer,2,7,5,Neutral
Andy Dwyer,He's a jerk. He's being such a jerk. That's an awful thing to say to a human being!,Greg Pikitis,2,7,18,Neutral
Greg Pikitis,Are you crying?,Andy Dwyer,2,7,3,Neutral
Andy Dwyer,"No, I am not crying, okay? I'm allergic to jerks!",Leslie Knope,2,7,10,Positive
Leslie Knope,"Okay. Andy, out.",Andy Dwyer,2,7,3,Neutral
Andy Dwyer,"Fine, and I don't even care! It's stupid--",Leslie Knope,2,7,8,Positive
Leslie Knope,Okay. The gloves are coming off.,Greg Pikitis,2,7,6,Neutral
Greg Pikitis,What's that?,Leslie Knope,2,7,2,Neutral
Leslie Knope,"I think you know what that is. When I came to visit you at the school, you were eating a peach. Then my office gets vandalized, and somebody leaves a peach pit on my desk? I don't think that's a coincidence, Greg.",Greg Pikitis,2,7,42,Neutral
Greg Pikitis,"Wow, you nailed me. I mean, there's no way that two different people could have eaten the same fruit in the same day, in the same area of Indiana. Never mind that I was actually eating a plum when you saw me earlier.",Leslie Knope,2,7,43,Positive
Leslie Knope,I know you did this. I don't care what you say. I don't care that you were in the parking lot all night. Somehow you found a way to get in here--,Greg Pikitis,2,7,32,Neutral
Greg Pikitis,"Wait, wait, wait. How did you know that I was in the parking lot all night?",Leslie Knope,2,7,16,Neutral
Leslie Knope,"Because I followed you, genius!",Greg Pikitis,2,7,5,Negative
Greg Pikitis,"If you followed me all night then you know that it wasn't me. Knope, what is your problem?",Leslie Knope,2,7,18,Positive
Leslie Knope,"Look, I have been very civil. But I will waterboard you.",Dave Sanderson,2,7,11,Neutral
Dave Sanderson,"No, nope. I don't think she would make a good cop. I would be frightened to live in a town that she's the cop of, frankly.",Ann Perkins,2,7,26,Neutral
Ann Perkins,What are you doing?,Tom Haverford,2,7,4,Neutral
Tom Haverford,"Ann, do you want me to liven things up or not?",Ann Perkins,2,7,11,Neutral
Ann Perkins,Course I do.,Tom Haverford,2,7,3,Neutral
Tom Haverford,"All right, then relax. And turn off all the lights that don't have colored bulbs. All right, y'all! Take the pigs in the blanket and put them to sleep! It's time to get wild! Get this furniture out of here, y'all, we're making a dance floor. Come on, y'all. Put the turkey wraps down. We're about to get wild. Ron Swanson's in the building, y'all!",Leslie Knope,2,7,65,Negative
Leslie Knope,"His mom's gonna be here soon. Please, Dave, just arrest him.",Dave Sanderson,2,7,11,Positive
Dave Sanderson,On what charge?,Leslie Knope,2,7,3,Negative
Leslie Knope,Just handcuff him to something.,Greg's Mom,2,7,5,Neutral
Greg's Mom,Greggy? Greg! Gregsy!,Greg Pikitis,2,7,3,Neutral
Greg Pikitis,Mom!,Leslie Knope,2,7,1,Neutral
Leslie Knope,"Mrs. Pikitis? Hi, I'm Leslie Knope, this is Officer Sanderson.",Andy Dwyer,2,7,10,Neutral
Andy Dwyer,"Bert Macklin, FBI.",Greg's Mom,2,7,3,Negative
Greg's Mom,What the hell do you think you're doing? You can't just hold a 16 year old kid against his will.,Dave Sanderson,2,7,20,Neutral
Dave Sanderson,"Well, we were trying to question him about this vandalism.",Greg's Mom,2,7,10,Neutral
Greg's Mom,Do you have any evidence?,Leslie Knope,2,7,5,Neutral
Leslie Knope,Yes.,Dave Sanderson,2,7,1,Neutral
Dave Sanderson,No. No. We don't.,Leslie Knope,2,7,4,Positive
Leslie Knope,"Two words, peach pit.",Greg's Mom,2,7,4,Neutral
Greg's Mom,Peach pit?,Leslie Knope,2,7,2,Neutral
Leslie Knope,"His DNA is all over it, I assume.",Dave Sanderson,2,7,8,Positive
Dave Sanderson,We don't know that.,Leslie Knope,2,7,4,Neutral
Leslie Knope,We can get it tested.,Dave Sanderson,2,7,5,Neutral
Dave Sanderson,We can't.,Leslie Knope,2,7,2,Neutral
Leslie Knope,"And if it matches your DNA, then you're going away for a long time.",Dave Sanderson,2,7,14,Neutral
Dave Sanderson,It won't.,Greg's Mom,2,7,2,Neutral
Greg's Mom,Is this a joke?,Leslie Knope,2,7,4,Neutral
Leslie Knope,No.,Greg's Mom,2,7,1,Neutral
Greg's Mom,"I'm calling your shift commander. Monday morning, I am calling your boss. I don't know who to call about you--",Andy Dwyer,2,7,20,Neutral
Andy Dwyer,The President of the United States of America.,Greg's Mom,2,7,8,Neutral
Greg's Mom,"Fine. And if any of you ever come near my son again, I swear to God I will sue you and everyone in this building. Come on, honey.",Leslie Knope,2,7,28,Neutral
Leslie Knope,Let them think they've lost us. Then we're-- Where are you going?,Dave Sanderson,2,7,12,Negative
Dave Sanderson,I gotta go tell my boss why I illegally detained a teenager. I shouldn't have gotten involved with this. It's just... It's just bad police work.,Andy Dwyer,2,7,26,Negative
Andy Dwyer,"Yeah, it was bad FBI work, too. My bad.",Tom Haverford,2,7,9,Neutral
