Character,Line
Ben Wyatt,"So, while they repaint the lines in the parking lot, we're asking everyone to do street parking."
Donna Meagle,I'm not street parking my Mercedes.
Ben Wyatt,"Well, everyone is."
Ben Wyatt,I'm doing it.
Donna Meagle,'Cause nobody wants to steal a Saturn.
Ben Wyatt,"All right, moving on to recycling."
Ben Wyatt,"You okay, Ron?"
Ron Swanson,Just a little tooth pain.
Ron Swanson,I'm fine.
Ron Swanson,Continue.
Ben Wyatt,"Okay, each department will be getting blue bins Do you need to go to the dentist, Ron?"
Ron Swanson,I don't like dentists.
Ron Swanson,Just a second.
Donna Meagle,Hey.
Jerry Gergich,"No, no."
Jerry Gergich,No!
Leslie Knope,"No, no, no, no!"
Tom Haverford,Oh!
Donna Meagle,What the?
Jerry Gergich,"Oh, my God!"
Ron Swanson,"I'm sorry, everybody."
Ron Swanson,What were we talking about?
Ron Swanson,Recycling?
Ron Swanson,Dentist pulled the tooth out yesterday.
Ron Swanson,But it's always a good idea to demonstrate to your coworkers that you are capable of withstanding a tremendous amount of pain.
Ron Swanson,"Plus, it's always fun to see Tom faint."
Andy Dwyer,"Attention, everybody!"
April Ludgate,"Everybody, listen up."
Andy Dwyer,"You are all officially invited to a dinner party, which is officially my friend Burly's home, because I don't have a home."
April Ludgate,That's it.
April Ludgate,There's no more left.
Andy Dwyer,Give it to him.
April Ludgate,"We've been dating for almost a month, so we just decided that we wanted to do something special."
Andy Dwyer,"And dinner parties do combine two of our favorite things, dinner and parties."
April Ludgate,Parties.
Andy Dwyer,Yeah.
Andy Dwyer,It's like if you could have a Xbox pancake.
Andy Dwyer,"Your invitations include requests for each of you to bring stuff, 'cause we don't have a whole lot."
Andy Dwyer,Don't be late.
April Ludgate,Watch out.
Tom Haverford,"""Dearest Tom, please bring silverware."""
Donna Meagle,"""Please bring cooked steak."""
Ron Swanson,This is ridiculous.
Leslie Knope,They're young.
Leslie Knope,They're in love.
Leslie Knope,They're ready to show it to the world.
Leslie Knope,It's very sweet.
Leslie Knope,And we're all going.
Tom Haverford,What?
Tom Haverford,There's a boy's sale at Dillard's today.
Leslie Knope,Hey.
Ben Wyatt,"Oh, hey."
Leslie Knope,You going tonight?
Ben Wyatt,Yeah.
