idx,season,episode,character,line
0,s1,01,Leslie Knope,Hello.
1,s1,01,Leslie Knope,Hi.
2,s1,01,Leslie Knope,"My name is Leslie Knope, and I work for the Parks and Recreation Department."
3,s1,01,Leslie Knope,Can I ask you a few questions?
4,s1,01,Leslie Knope,"Would you say that you are, ""Enjoying yourself and having fun, having a moderate amount of fun and somewhat enjoying yourself, or having no fun and no enjoyment?"""
5,s1,01,Leslie Knope,I'm gonna put a lot of fun.
6,s1,01,Child,"Ms. Knope, there's a drunk stuck in the slide."
7,s1,01,Leslie Knope,"Sir, this is a children's slide."
8,s1,01,Leslie Knope,You're not allowed to sleep in here.
9,s1,01,Extra,What is?
10,s1,01,Leslie Knope,"You know, when I first tell people that I work in the government, they say, ""Oh."""
11,s1,01,Leslie Knope,"""The government."""
12,s1,01,Leslie Knope,"""The government stinks."""
13,s1,01,Leslie Knope,"""The lines are too long at the DMV."""
14,s1,01,Leslie Knope,But now things have changed.
15,s1,01,Leslie Knope,People need our help.
16,s1,01,Leslie Knope,And it feels good to be needed.
17,s1,01,Leslie Knope,Could you put your arms to your side?
18,s1,01,Leslie Knope,And that might help you slide down a little easier.
19,s1,01,Drunk,We don't--
20,s1,01,Leslie Knope,Do you want to come this way?
21,s1,01,Drunk,Uhuh.
22,s1,01,Leslie Knope,"Okay, we're gonna need you to get out."
23,s1,01,Drunk,Can you please go away?
24,s1,01,Leslie Knope,Get out of the slide.
25,s1,01,Leslie Knope,Okay?
26,s1,01,Drunk,You're Can you please go away?
27,s1,01,Leslie Knope,Here we go!
28,s1,01,Leslie Knope,"Okay, wake up."
29,s1,01,Leslie Knope,Here we go.
30,s1,01,Leslie Knope,Out of the slide.
31,s1,01,Leslie Knope,"You know, government isn't just a boys' club anymore."
32,s1,01,Leslie Knope,Women are everywhere.
33,s1,01,Leslie Knope,It's a great time to be a woman in politics.
34,s1,01,Leslie Knope,"Hillary Clinton, Sarah Palin, me, Nancy Pelosi."
35,s1,01,Leslie Knope,We did it!
36,s1,01,Leslie Knope,"You know, I like to tell people, you know, ""Get on board and buckle up, because my ride's gonna be a big one."""
37,s1,01,Leslie Knope,"And if you get motion sickness, you know, put your head between your knees 'cause Leslie Knope's stopping for no one."
38,s1,01,Ron Swanson,Tonight is our next monthly community outreach public forum.
39,s1,01,Leslie Knope,And that is tonight.
40,s1,01,Ron Swanson,That is tonight.
41,s1,01,Leslie Knope,Right.
42,s1,01,Ron Swanson,Leslie will be running it.
43,s1,01,Ron Swanson,And we need one more.
44,s1,01,Ron Swanson,Who wants in?
45,s1,01,Ron Swanson,Tom.
46,s1,01,Tom Haverford,Fine.
47,s1,01,Leslie Knope,This is a great thing for you guys to see.
48,s1,01,Leslie Knope,This is where the rubber of government meets the road of actual human beings.
49,s1,01,Leslie Knope,"When I go through these doors, I need to be on."
50,s1,01,Leslie Knope,Like the White House Press Secretary.
